PACKAGE_NAME,VERSION,LANGUAGE,RUNTIME_VERSION
abi3audit,0.0.24,python,3.10
abi3audit,0.0.24,python,3.11
abi3audit,0.0.24,python,3.12
abi3audit,0.0.24,python,3.13
abi3audit,0.0.24,python,
abi3info,2025.11.29,python,3.10
abi3info,2025.11.29,python,3.11
abi3info,2025.11.29,python,3.12
abi3info,2025.11.29,python,3.13
abi3info,2025.11.29,python,
about-time,4.2.1,python,3.10
about-time,4.2.1,python,3.11
about-time,4.2.1,python,3.12
about-time,4.2.1,python,3.8
about-time,4.2.1,python,3.9
abseil-cpp,20200923.3,python,
abseil-cpp,20210324.2,python,
abseil-cpp,20211102.0,python,
abseil-cpp,20230802.0,python,
absl-py,0.10.0,python,3.8
absl-py,0.12.0,python,3.10
absl-py,1.3.0,python,3.10
absl-py,1.3.0,python,3.11
absl-py,1.3.0,python,3.8
absl-py,1.3.0,python,3.9
absl-py,1.4.0,python,3.10
absl-py,1.4.0,python,3.11
absl-py,1.4.0,python,3.12
absl-py,1.4.0,python,3.8
absl-py,1.4.0,python,3.9
absl-py,2.1.0,python,3.10
absl-py,2.1.0,python,3.11
absl-py,2.1.0,python,3.12
absl-py,2.1.0,python,3.13
absl-py,2.1.0,python,
absl-py,2.1.0,python,3.8
absl-py,2.1.0,python,3.9
absl-py,2.3.1,python,3.10
absl-py,2.3.1,python,3.11
absl-py,2.3.1,python,3.12
absl-py,2.3.1,python,3.13
absl-py,2.3.1,python,
access,1.1.10,python,3.11
access,1.1.10,python,3.12
access,1.1.10,python,3.13
access,1.1.10,python,
access,1.1.10.post3,python,3.11
access,1.1.10.post3,python,3.12
access,1.1.10.post3,python,3.13
access,1.1.10.post3,python,
access,1.1.9,python,3.10
access,1.1.9,python,3.11
access,1.1.9,python,3.12
access,1.1.9,python,3.13
access,1.1.9,python,3.9
accessible-pygments,0.0.5,python,3.10
accessible-pygments,0.0.5,python,3.11
accessible-pygments,0.0.5,python,3.12
accessible-pygments,0.0.5,python,3.13
accessible-pygments,0.0.5,python,
accessible-pygments,0.0.5,python,3.9
adagio,0.2.4,python,3.10
adagio,0.2.4,python,3.11
adagio,0.2.4,python,3.12
adagio,0.2.4,python,3.13
adagio,0.2.4,python,
adagio,0.2.4,python,3.8
adagio,0.2.4,python,3.9
adagio,0.2.6,python,3.10
adagio,0.2.6,python,3.11
adagio,0.2.6,python,3.12
adagio,0.2.6,python,3.13
adagio,0.2.6,python,
adtk,0.6.2,python,3.10
adtk,0.6.2,python,3.11
adtk,0.6.2,python,3.12
adtk,0.6.2,python,3.13
adtk,0.6.2,python,3.8
adtk,0.6.2,python,3.9
adwaita-icon-theme,48.0,python,
aenum,3.0.0,python,3.8
aenum,3.0.0,python,3.9
aenum,3.1.16,python,3.10
aenum,3.1.16,python,3.11
aenum,3.1.16,python,3.12
aenum,3.1.16,python,3.13
aenum,3.1.16,python,
aenum,3.1.16,python,3.9
aenum,3.1.5,python,3.10
aenum,3.1.5,python,3.11
aenum,3.1.5,python,3.12
aenum,3.1.5,python,3.13
aenum,3.1.5,python,3.8
aenum,3.1.5,python,3.9
affine,2.4.0,python,3.10
affine,2.4.0,python,3.11
affine,2.4.0,python,3.12
affine,2.4.0,python,3.13
affine,2.4.0,python,
affine,2.4.0,python,3.9
affinegap,1.12,python,3.10
affinegap,1.12,python,3.11
affinegap,1.12,python,3.12
affinegap,1.12,python,3.8
affinegap,1.12,python,3.9
agate,1.13.0,python,3.10
agate,1.13.0,python,3.11
agate,1.13.0,python,3.12
agate,1.13.0,python,3.9
agate,1.14.2,python,3.10
agate,1.14.2,python,3.11
agate,1.14.2,python,3.12
agate,1.14.2,python,3.13
agate,1.14.2,python,
agate,1.6.1,python,3.10
agate,1.6.2,python,3.8
agate,1.6.2,python,3.9
agate,1.7.1,python,3.10
agate,1.7.1,python,3.11
agate,1.7.1,python,3.12
agate,1.7.1,python,3.13
agate,1.7.1,python,3.8
agate,1.7.1,python,3.9
agate-dbf,0.2.4,python,3.10
agate-dbf,0.2.4,python,3.11
agate-dbf,0.2.4,python,3.12
agate-dbf,0.2.4,python,3.13
agate-dbf,0.2.4,python,
agate-excel,0.4.1,python,3.10
agate-excel,0.4.1,python,3.11
agate-excel,0.4.1,python,3.12
agate-excel,0.4.1,python,3.13
agate-excel,0.4.1,python,3.9
agate-excel,0.4.2,python,3.10
agate-excel,0.4.2,python,3.11
agate-excel,0.4.2,python,3.12
agate-excel,0.4.2,python,3.13
agate-excel,0.4.2,python,
agate-sql,0.7.2,python,3.10
agate-sql,0.7.2,python,3.11
agate-sql,0.7.2,python,3.12
agate-sql,0.7.2,python,3.13
agate-sql,0.7.2,python,3.9
agate-sql,0.7.3,python,3.10
agate-sql,0.7.3,python,3.11
agate-sql,0.7.3,python,3.12
agate-sql,0.7.3,python,3.13
agate-sql,0.7.3,python,
aiobotocore,2.12.3,python,3.10
aiobotocore,2.12.3,python,3.11
aiobotocore,2.12.3,python,3.12
aiobotocore,2.12.3,python,3.8
aiobotocore,2.12.3,python,3.9
aiobotocore,2.19.0,python,3.10
aiobotocore,2.19.0,python,3.11
aiobotocore,2.19.0,python,3.12
aiobotocore,2.19.0,python,3.13
aiobotocore,2.19.0,python,3.9
aiobotocore,2.23.2,python,3.10
aiobotocore,2.23.2,python,3.11
aiobotocore,2.23.2,python,3.12
aiobotocore,2.23.2,python,3.13
aiobotocore,2.23.2,python,3.9
aiobotocore,2.25.0,python,3.10
aiobotocore,2.25.0,python,3.11
aiobotocore,2.25.0,python,3.12
aiobotocore,2.25.0,python,3.13
aiobotocore,2.25.0,python,3.9
aiobotocore,2.4.0,python,3.10
aiobotocore,2.4.0,python,3.11
aiobotocore,2.4.0,python,3.8
aiobotocore,2.4.0,python,3.9
aiobotocore,2.4.2,python,3.10
aiobotocore,2.4.2,python,3.11
aiobotocore,2.4.2,python,3.8
aiobotocore,2.4.2,python,3.9
aiobotocore,2.5.0,python,3.10
aiobotocore,2.5.0,python,3.11
aiobotocore,2.5.0,python,3.8
aiobotocore,2.5.0,python,3.9
aiobotocore,2.7.0,python,3.10
aiobotocore,2.7.0,python,3.11
aiobotocore,2.7.0,python,3.12
aiobotocore,2.7.0,python,3.8
aiobotocore,2.7.0,python,3.9
aiofiles,22.1.0,python,3.10
aiofiles,22.1.0,python,3.11
aiofiles,22.1.0,python,3.12
aiofiles,22.1.0,python,3.13
aiofiles,22.1.0,python,3.8
aiofiles,22.1.0,python,3.9
aiofiles,24.1.0,python,3.10
aiofiles,24.1.0,python,3.11
aiofiles,24.1.0,python,3.12
aiofiles,24.1.0,python,3.13
aiofiles,24.1.0,python,
aiofiles,24.1.0,python,3.9
aiofiles,25.1.0,python,3.10
aiofiles,25.1.0,python,3.11
aiofiles,25.1.0,python,3.12
aiofiles,25.1.0,python,3.13
aiofiles,25.1.0,python,
aiohappyeyeballs,2.4.0,python,3.10
aiohappyeyeballs,2.4.0,python,3.11
aiohappyeyeballs,2.4.0,python,3.12
aiohappyeyeballs,2.4.0,python,3.13
aiohappyeyeballs,2.4.0,python,3.8
aiohappyeyeballs,2.4.0,python,3.9
aiohappyeyeballs,2.4.3,python,3.10
aiohappyeyeballs,2.4.3,python,3.11
aiohappyeyeballs,2.4.3,python,3.12
aiohappyeyeballs,2.4.3,python,3.13
aiohappyeyeballs,2.4.3,python,3.9
aiohappyeyeballs,2.4.4,python,3.10
aiohappyeyeballs,2.4.4,python,3.11
aiohappyeyeballs,2.4.4,python,3.12
aiohappyeyeballs,2.4.4,python,3.13
aiohappyeyeballs,2.4.4,python,3.9
aiohappyeyeballs,2.6.1,python,3.10
aiohappyeyeballs,2.6.1,python,3.11
aiohappyeyeballs,2.6.1,python,3.12
aiohappyeyeballs,2.6.1,python,3.13
aiohappyeyeballs,2.6.1,python,
aiohappyeyeballs,2.6.1,python,3.9
aiohttp,3.10.11,python,3.10
aiohttp,3.10.11,python,3.11
aiohttp,3.10.11,python,3.12
aiohttp,3.10.11,python,3.13
aiohttp,3.10.11,python,3.9
aiohttp,3.10.5,python,3.10
aiohttp,3.10.5,python,3.11
aiohttp,3.10.5,python,3.12
aiohttp,3.10.5,python,3.13
aiohttp,3.10.5,python,3.8
aiohttp,3.10.5,python,3.9
aiohttp,3.11.10,python,3.10
aiohttp,3.11.10,python,3.11
aiohttp,3.11.10,python,3.12
aiohttp,3.11.10,python,3.13
aiohttp,3.11.10,python,3.9
aiohttp,3.7.4,python,3.8
aiohttp,3.7.4,python,3.9
aiohttp,3.7.4.post0,python,3.10
aiohttp,3.8.1,python,3.10
aiohttp,3.8.1,python,3.8
aiohttp,3.8.1,python,3.9
aiohttp,3.8.3,python,3.10
aiohttp,3.8.3,python,3.11
aiohttp,3.8.3,python,3.8
aiohttp,3.8.3,python,3.9
aiohttp,3.8.5,python,3.10
aiohttp,3.8.5,python,3.11
aiohttp,3.8.5,python,3.8
aiohttp,3.8.5,python,3.9
aiohttp,3.8.6,python,3.10
aiohttp,3.8.6,python,3.11
aiohttp,3.8.6,python,3.8
aiohttp,3.8.6,python,3.9
aiohttp,3.9.0,python,3.10
aiohttp,3.9.0,python,3.11
aiohttp,3.9.0,python,3.12
aiohttp,3.9.0,python,3.8
aiohttp,3.9.0,python,3.9
aiohttp,3.9.3,python,3.10
aiohttp,3.9.3,python,3.11
aiohttp,3.9.3,python,3.12
aiohttp,3.9.3,python,3.8
aiohttp,3.9.3,python,3.9
aiohttp,3.9.5,python,3.10
aiohttp,3.9.5,python,3.11
aiohttp,3.9.5,python,3.12
aiohttp,3.9.5,python,3.8
aiohttp,3.9.5,python,3.9
aiohttp-cors,0.8.1,python,3.10
aiohttp-cors,0.8.1,python,3.11
aiohttp-cors,0.8.1,python,3.12
aiohttp-cors,0.8.1,python,3.13
aiohttp-cors,0.8.1,python,
aiohttp-cors,0.8.1,python,3.9
aiohttp-jinja2,1.6,python,3.10
aiohttp-jinja2,1.6,python,3.11
aiohttp-jinja2,1.6,python,3.12
aiohttp-jinja2,1.6,python,3.13
aiohttp-jinja2,1.6,python,
aiohttp-jinja2,1.6,python,3.8
aiohttp-jinja2,1.6,python,3.9
aioitertools,0.12.0,python,3.10
aioitertools,0.12.0,python,3.11
aioitertools,0.12.0,python,3.12
aioitertools,0.12.0,python,3.13
aioitertools,0.12.0,python,
aioitertools,0.12.0,python,3.9
aiokafka,0.12.0,python,3.10
aiokafka,0.12.0,python,3.11
aiokafka,0.12.0,python,3.12
aiokafka,0.12.0,python,3.13
aiokafka,0.12.0,python,3.9
aiopg,1.3.4,python,3.10
aiopg,1.3.4,python,3.11
aiopg,1.3.4,python,3.8
aiopg,1.3.4,python,3.9
aiorwlock,1.3.0,python,3.10
aiorwlock,1.3.0,python,3.11
aiorwlock,1.3.0,python,3.12
aiorwlock,1.3.0,python,3.13
aiorwlock,1.3.0,python,3.8
aiorwlock,1.3.0,python,3.9
aiorwlock,1.5.0,python,3.10
aiorwlock,1.5.0,python,3.11
aiorwlock,1.5.0,python,3.12
aiorwlock,1.5.0,python,3.13
aiorwlock,1.5.0,python,
aiorwlock,1.5.0,python,3.9
aiorwlock,1.5.1,python,3.10
aiorwlock,1.5.1,python,3.11
aiorwlock,1.5.1,python,3.12
aiorwlock,1.5.1,python,3.13
aiorwlock,1.5.1,python,
aiosignal,1.4.0,python,3.10
aiosignal,1.4.0,python,3.11
aiosignal,1.4.0,python,3.12
aiosignal,1.4.0,python,3.13
aiosignal,1.4.0,python,
